Juz,Surah,Aayah,pageNum,lineNum,text,Tag,Quarter
1,2,15,3,15,اَللّٰہُ              یَسۡتَہۡزِئُ              بِہِمۡ             وَ             یَمُدُّہُمۡ             فِیۡ             طُغۡیَانِہِمۡ             یَعۡمَہُوۡنَ             ﴿۱۵﴾,0,<null>
1,2,16,4,1,اُولٰٓئِکَ            الَّذِیۡنَ            اشۡتَرَوُا            الضَّلٰلَۃَ            بِالۡہُدٰی ۪            فَمَا           رَبِحَتۡ          تِّجَارَتُہُمۡ,0,<null>
1,2,16,4,2,وَ          مَا          کَانُوۡا          مُہۡتَدِیۡنَ         ﴿۱۶﴾,0,<null>
1,2,17,4,2,         مَثَلُہُمۡ         کَمَثَلِ         الَّذِی        اسۡتَوۡقَدَ        نَارًا ۚ,0,<null>
1,2,17,4,3,فَلَمَّاۤ               اَضَآءَتۡ               مَا              حَوۡلَہٗ             ذَہَبَ             اللّٰہُ             بِنُوۡرِہِمۡ             وَ             تَرَکَہُمۡ             فِیۡ,0,<null>
1,2,17,4,4,ظُلُمٰتٍ         لَّا         یُبۡصِرُوۡنَ        ﴿۱۷﴾,0,<null>
1,2,18,4,4,        صُمٌّۢ       بُکۡمٌ       عُمۡیٌ       فَہُمۡ       لَا       یَرۡجِعُوۡنَ       ۙؖ﴿۱۸﴾,0,<null>
1,2,19,4,4,       اَوۡ,0,<null>
1,2,19,4,5,کَصَیِّبٍ             مِّنَ             السَّمَآءِ             فِیۡہِ            ظُلُمٰتٌ            وَّ           رَعۡدٌ           وَّ           بَرۡقٌ ۚ           یَجۡعَلُوۡنَ,0,<null>
1,2,19,4,6,اَصَابِعَہُمۡ          فِیۡۤ          اٰذَانِہِمۡ          مِّنَ         الصَّوَاعِقِ         حَذَرَ         الۡمَوۡتِ ؕ         وَ         اللّٰہُ         مُحِیۡطٌۢ,0,<null>
1,2,19,4,7,بِالۡکٰفِرِیۡنَ          ﴿۱۹﴾,0,<null>
1,2,20,4,7,          یَکَادُ          الۡبَرۡقُ          یَخۡطَفُ          اَبۡصَارَہُمۡ ؕ          کُلَّمَاۤ          اَضَآءَ          لَہُمۡ,0,<null>
1,2,20,4,8,مَّشَوۡا          فِیۡہِ ٭ۙ          وَ          اِذَاۤ          اَظۡلَمَ        عَلَیۡہِمۡ        قَامُوۡا ؕ        وَ        لَوۡ        شَآءَ        اللّٰہُ        لَذَہَبَ,0,<null>
1,2,20,4,9,بِسَمۡعِہِمۡ         وَ         اَبۡصَارِہِمۡ ؕ         اِنَّ         اللّٰہَ         عَلٰی         کُلِّ        شَیۡءٍ        قَدِیۡرٌ       ٪﴿۲۰﴾,0,<null>
1,2,21,4,9,       یٰۤاَیُّہَا,0,<null>
1,2,21,4,10,النَّاسُ             اعۡبُدُوۡا             رَبَّکُمُ             الَّذِیۡ             خَلَقَکُمۡ             وَ             الَّذِیۡنَ             مِنۡ            قَبۡلِکُمۡ,0,<null>
1,2,21,4,11,لَعَلَّکُمۡ      تَتَّقُوۡنَ      ۙؖ﴿۲۱﴾,0,<null>
1,2,22,4,11,      الَّذِیۡ      جَعَلَ      لَکُمُ      الۡاَرۡضَ      فِرَاشًا      وَّ      السَّمَآءَ      بِنَآءً ۪,0,<null>
1,2,22,4,12,وَّ          اَنۡزَلَ          مِنَ          السَّمَآءِ          مَآءً          فَاَخۡرَجَ          بِہٖ          مِنَ          الثَّمَرٰتِ         رِزۡقًا         لَّکُمۡ ۚ,0,<null>
1,2,22,4,13,فَلَا       تَجۡعَلُوۡا       لِلّٰہِ       اَنۡدَادًا       وَّ       اَنۡتُمۡ       تَعۡلَمُوۡنَ       ﴿۲۲﴾,0,<null>
1,2,23,4,13,       وَ       اِنۡ       کُنۡتُمۡ       فِیۡ       رَیۡبٍ,0,<null>
1,2,23,4,14,مِّمَّا             نَزَّلۡنَا             عَلٰی             عَبۡدِنَا            فَاۡتُوۡا            بِسُوۡرَۃٍ            مِّنۡ           مِّثۡلِہٖ ۪           وَ           ادۡعُوۡا,0,<null>
1,2,23,4,15,شُہَدَآءَکُمۡ                   مِّنۡ                   دُوۡنِ                   اللّٰہِ                   اِنۡ                   کُنۡتُمۡ                  صٰدِقِیۡنَ                 ﴿۲۳﴾,0,<null>
1,2,24,5,1,فَاِنۡ              لَّمۡ              تَفۡعَلُوۡا              وَ              لَنۡ             تَفۡعَلُوۡا             فَاتَّقُوا             النَّارَ            الَّتِیۡ            وَقُوۡدُہَا,0,<null>
1,2,24,5,2,النَّاسُ        وَ        الۡحِجَارَۃُ ۚۖ        اُعِدَّتۡ       لِلۡکٰفِرِیۡنَ       ﴿۲۴﴾,0,<null>
1,2,25,5,2,       وَ       بَشِّرِ       الَّذِیۡنَ       اٰمَنُوۡا       وَ,0,<null>
1,2,25,5,3,عَمِلُوا          الصّٰلِحٰتِ          اَنَّ         لَہُمۡ         جَنّٰتٍ         تَجۡرِیۡ         مِنۡ         تَحۡتِہَا         الۡاَنۡہٰرُ ؕ        کُلَّمَا,0,<null>
1,2,25,5,4,رُزِقُوۡا         مِنۡہَا         مِنۡ        ثَمَرَۃٍ        رِّزۡقًا ۙ        قَالُوۡا        ہٰذَا        الَّذِیۡ        رُزِقۡنَا        مِنۡ        قَبۡلُ ۙ,0,<null>
1,2,25,5,5,وَ          اُتُوۡا          بِہٖ          مُتَشَابِہًا ؕ          وَ          لَہُمۡ         فِیۡہَاۤ        اَزۡوَاجٌ        مُّطَہَّرَۃٌ ٭ۙ        وَّ        ہُمۡ        فِیۡہَا,0,<null>
1,2,25,5,6,خٰلِدُوۡنَ        ﴿۲۵﴾,0,<null>
1,2,26,5,6,        اِنَّ        اللّٰہَ        لَا       یَسۡتَحۡیٖۤ       اَنۡ      یَّضۡرِبَ      مَثَلًا      مَّا      بَعُوۡضَۃً      فَمَا,0,<null>
1,2,26,5,7,فَوۡقَہَا ؕ        فَاَمَّا        الَّذِیۡنَ        اٰمَنُوۡا       فَیَعۡلَمُوۡنَ       اَنَّہُ       الۡحَقُّ       مِنۡ       رَّبِّہِمۡ ۚ       وَ       اَمَّا,0,<null>
1,2,26,5,8,الَّذِیۡنَ            کَفَرُوۡا            فَیَقُوۡلُوۡنَ            مَا            ذَاۤ            اَرَادَ            اللّٰہُ           بِہٰذَا          مَثَلًا ۘ          یُضِلُّ,0,<null>
1,2,26,5,9,بِہٖ       کَثِیۡرًا ۙ       وَّ       یَہۡدِیۡ       بِہٖ       کَثِیۡرًا ؕ       وَ       مَا       یُضِلُّ      بِہٖۤ      اِلَّا      الۡفٰسِقِیۡنَ      ۙؖ﴿۲۶﴾,0,<null>
1,2,27,5,10,الَّذِیۡنَ             یَنۡقُضُوۡنَ             عَہۡدَ             اللّٰہِ             مِنۡۢ             بَعۡدِ            مِیۡثَاقِہٖ ۪           وَ           یَقۡطَعُوۡنَ,0,<null>
1,2,27,5,11,مَاۤ           اَمَرَ           اللّٰہُ           بِہٖۤ          اَنۡ          یُّوۡصَلَ          وَ          یُفۡسِدُوۡنَ          فِی          الۡاَرۡضِ ؕ          اُولٰٓئِکَ,0,<null>
1,2,27,5,12,ہُمُ              الۡخٰسِرُوۡنَ              ﴿۲۷﴾,0,<null>
1,2,28,5,12,              کَیۡفَ              تَکۡفُرُوۡنَ              بِاللّٰہِ              وَ             کُنۡتُمۡ             اَمۡوَاتًا,0,<null>
1,2,28,5,13,فَاَحۡیَاکُمۡ ۚ            ثُمَّ            یُمِیۡتُکُمۡ            ثُمَّ            یُحۡیِیۡکُمۡ            ثُمَّ            اِلَیۡہِ           تُرۡجَعُوۡنَ           ﴿۲۸﴾,0,<null>
1,2,29,5,14,ہُوَ            الَّذِیۡ            خَلَقَ           لَکُمۡ           مَّا           فِی          الۡاَرۡضِ          جَمِیۡعًا ٭          ثُمَّ          اسۡتَوٰۤی          اِلَی,0,<null>
1,2,29,5,15,السَّمَآءِ           فَسَوّٰىہُنَّ           سَبۡعَ           سَمٰوٰتٍ ؕ           وَ           ہُوَ          بِکُلِّ          شَیۡءٍ         عَلِیۡمٌ         ٪﴿۲۹﴾,0,<null>
1,2,30,6,1,وَ          اِذۡ          قَالَ          رَبُّکَ         لِلۡمَلٰٓئِکَۃِ         اِنِّیۡ         جَاعِلٌ         فِی         الۡاَرۡضِ         خَلِیۡفَۃً ؕ         قَالُوۡۤا,0,<null>
1,2,30,6,2,اَتَجۡعَلُ        فِیۡہَا        مَنۡ        یُّفۡسِدُ        فِیۡہَا        وَ       یَسۡفِکُ       الدِّمَآءَ ۚ       وَ       نَحۡنُ       نُسَبِّحُ,0,<null>
1,2,30,6,3,بِحَمۡدِکَ        وَ        نُقَدِّسُ        لَکَ ؕ       قَالَ       اِنِّیۡۤ       اَعۡلَمُ      مَا      لَا      تَعۡلَمُوۡنَ      ﴿۳۰﴾,0,<null>
1,2,31,6,3,      وَ      عَلَّمَ,0,<null>
1,2,31,6,4,اٰدَمَ            الۡاَسۡمَآءَ            کُلَّہَا           ثُمَّ           عَرَضَہُمۡ           عَلَی           الۡمَلٰٓئِکَۃِ ۙ           فَقَالَ           اَنۡۢبِـُٔوۡنِیۡ,0,<null>
1,2,31,6,5,بِاَسۡمَآءِ        ہٰۤؤُلَآءِ        اِنۡ        کُنۡتُمۡ        صٰدِقِیۡنَ       ﴿۳۱﴾,0,<null>
1,2,32,6,5,       قَالُوۡا       سُبۡحٰنَکَ       لَا       عِلۡمَ       لَنَاۤ,0,<null>
1,2,32,6,6,اِلَّا       مَا       عَلَّمۡتَنَا ؕ       اِنَّکَ       اَنۡتَ       الۡعَلِیۡمُ       الۡحَکِیۡمُ      ﴿۳۲﴾,0,<null>
1,2,33,6,6,      قَالَ      یٰۤاٰدَمُ      اَنۡۢبِئۡہُمۡ,0,<null>
