Juz,Surah,Aayah,pageNum,lineNum,text,Tag,Quarter
1,1,1,1,1,سُوۡرَۃُ الفاتحۃ,1,<null>
1,1,1,1,2,بِسۡمِ اللّٰہِ الرَّحۡمٰنِ الرَّحِیۡمِ,2,<null>
1,1,2,1,3,اَلۡحَمۡدُ          لِلّٰہِ          رَبِّ          الۡعٰلَمِیۡنَ          ۙؖ﴿۱﴾,0,<null>
1,1,3,1,3,          الرَّحۡمٰنِ,0,<null>
1,1,3,1,4,الرَّحِیۡمِ ۙؖ﴿۲﴾,0,<null>
1,1,4,1,4, مٰلِکِ یَوۡمِ الدِّیۡنِ ؕؖ﴿۳﴾,0,<null>
1,1,5,1,4, اِیَّاکَ نَعۡبُدُ,0,<null>
1,1,5,1,5,وَ         اِیَّاکَ         نَسۡتَعِیۡنُ         ؕؖ﴿۴﴾,0,<null>
1,1,6,1,5,         اِہۡدِ         نَا        الصِّرَاطَ,0,<null>
1,1,6,1,6,الۡمُسۡتَقِیۡمَ   ۙؖ﴿۵﴾,0,<null>
1,1,7,1,6,   صِرَاطَ   الَّذِیۡنَ   اَنۡعَمۡتَ  عَلَیۡہِمۡ ۙ۬,0,<null>
1,1,7,1,7,غَیۡرِ       الۡمَغۡضُوۡبِ       عَلَیۡہِمۡ       وَ       لَا      الضَّآلِّیۡنَ      ٪﴿۷﴾,0,<null>
1,2,1,2,1,سُوۡرَۃُ البقرۃ,1,<null>
1,2,1,2,2,بِسۡمِ اللّٰہِ الرَّحۡمٰنِ الرَّحِیۡمِ,2,<null>
1,2,1,2,3,الٓـمّٓ   ۚؖ﴿۱﴾,0,<null>
1,2,2,2,3,   ذٰلِکَ   الۡکِتٰبُ   لَا  رَیۡبَ ۚۖۛ  فِیۡہِ ۚۛ  ہُدًی,0,<null>
1,2,2,2,4,لِّلۡمُتَّقِیۡنَ     ۙؖ﴿۲﴾,0,<null>
1,2,3,2,4,     الَّذِیۡنَ     یُؤۡمِنُوۡنَ     بِالۡغَیۡبِ    وَ,0,<null>
1,2,3,2,5,یُقِیۡمُوۡنَ  الصَّلٰوۃَ  وَ  مِمَّا  رَزَقۡنٰہُمۡ  یُنۡفِقُوۡنَ  ۙؖ﴿۳﴾,0,<null>
1,2,4,2,6,وَ       الَّذِیۡنَ       یُؤۡمِنُوۡنَ      بِمَاۤ      اُنۡزِلَ      اِلَیۡکَ      وَ      مَاۤ,0,<null>
1,2,4,2,7,اُنۡزِلَ مِنۡ قَبۡلِکَ ۚ وَ بِالۡاٰخِرَۃِ ہُمۡ یُوۡقِنُوۡنَ ؕؖ﴿۴﴾,0,<null>
1,2,5,3,1,اُولٰٓئِکَ   عَلٰی   ہُدًی   مِّنۡ  رَّبِّہِمۡ ٭  وَ  اُولٰٓئِکَ  ہُمُ  الۡمُفۡلِحُوۡنَ  ﴿۵﴾,0,<null>
1,2,6,3,1,  اِنَّ  الَّذِیۡنَ,0,<null>
1,2,6,3,2,کَفَرُوۡا   سَوَآءٌ   عَلَیۡہِمۡ   ءَاَنۡذَرۡتَہُمۡ   اَمۡ   لَمۡ   تُنۡذِرۡہُمۡ   لَا   یُؤۡمِنُوۡنَ   ﴿۶﴾,0,<null>
1,2,7,3,2,   خَتَمَ,0,<null>
1,2,7,3,3,اللّٰہُ     عَلٰی     قُلُوۡبِہِمۡ    وَ    عَلٰی    سَمۡعِہِمۡ ؕ    وَ    عَلٰۤی    اَبۡصَارِہِمۡ    غِشَاوَۃٌ ۫    وَّ    لَہُمۡ,0,<null>
1,2,7,3,4,عَذَابٌ     عَظِیۡمٌ     ٪﴿۷﴾,0,<null>
1,2,8,3,4,     وَ     مِنَ     النَّاسِ    مَنۡ    یَّقُوۡلُ    اٰمَنَّا    بِاللّٰہِ    وَ    بِالۡیَوۡمِ,0,<null>
1,2,8,3,5,الۡاٰخِرِ   وَ   مَا   ہُمۡ   بِمُؤۡمِنِیۡنَ   ۘؖ﴿۸﴾,0,<null>
1,2,9,3,5,   یُخٰدِعُوۡنَ   اللّٰہَ   وَ   الَّذِیۡنَ   اٰمَنُوۡا ۚ   وَ   مَا,0,<null>
1,2,9,3,6,یَخۡدَعُوۡنَ      اِلَّاۤ      اَنۡفُسَہُمۡ      وَ      مَا      یَشۡعُرُوۡنَ      ؕؖ﴿۹﴾,0,<null>
1,2,10,3,6,      فِیۡ      قُلُوۡبِہِمۡ      مَّرَضٌ ۙ,0,<null>
1,2,10,3,7,فَزَادَہُمُ     اللّٰہُ     مَرَضًا ۚ     وَ    لَہُمۡ    عَذَابٌ    اَلِیۡمٌۢ ۬ۙ    بِمَا    کَانُوۡا    یَکۡذِبُوۡنَ    ﴿۱۰﴾,0,<null>
1,2,11,3,8,وَ   اِذَا   قِیۡلَ   لَہُمۡ  لَا  تُفۡسِدُوۡا  فِی  الۡاَرۡضِ ۙ  قَالُوۡۤا  اِنَّمَا  نَحۡنُ  مُصۡلِحُوۡنَ  ﴿۱۱﴾,0,<null>
1,2,12,3,9,اَلَاۤ     اِنَّہُمۡ     ہُمُ     الۡمُفۡسِدُوۡنَ     وَ     لٰکِنۡ    لَّا    یَشۡعُرُوۡنَ    ﴿۱۲﴾,0,<null>
1,2,13,3,9,    وَ    اِذَا    قِیۡلَ    لَہُمۡ,0,<null>
1,2,13,3,10,اٰمِنُوۡا     کَمَاۤ     اٰمَنَ     النَّاسُ     قَالُوۡۤا     اَنُؤۡمِنُ     کَمَاۤ     اٰمَنَ     السُّفَہَآءُ ؕ    اَلَاۤ    اِنَّہُمۡ,0,<null>
1,2,13,3,11,ہُمُ  السُّفَہَآءُ  وَ  لٰکِنۡ  لَّا  یَعۡلَمُوۡنَ  ﴿۱۳﴾,0,<null>
1,2,14,3,11, وَ اِذَا لَقُوا الَّذِیۡنَ اٰمَنُوۡا قَالُوۡۤا اٰمَنَّا ۚۖ,0,<null>
1,2,14,3,12,وَ اِذَا خَلَوۡا اِلٰی شَیٰطِیۡنِہِمۡ ۙ قَالُوۡۤا اِنَّا مَعَکُمۡ ۙ اِنَّمَا نَحۡنُ مُسۡتَہۡزِءُوۡنَ ﴿۱۴﴾,0,<null>
1,2,15,3,13,اَللّٰہُ      یَسۡتَہۡزِئُ      بِہِمۡ      وَ     یَمُدُّہُمۡ     فِیۡ     طُغۡیَانِہِمۡ     یَعۡمَہُوۡنَ     ﴿۱۵﴾,0,<null>
1,2,16,3,13,     اُولٰٓئِکَ,0,<null>
1,2,16,3,14,الَّذِیۡنَ     اشۡتَرَوُا     الضَّلٰلَۃَ     بِالۡہُدٰی ۪     فَمَا     رَبِحَتۡ     تِّجَارَتُہُمۡ     وَ    مَا    کَانُوۡا,0,<null>
1,2,16,3,15,مُہۡتَدِیۡنَ     ﴿۱۶﴾,0,<null>
